condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent,artifact_display,mse_mean,mse_std,psnr_mean,psnr_std,n_measurements,n_patients
noise_L1,1,74,0.7628045228832854,0.7644861241432233,0.1541987957985506,-0.0016816012599378,0.0149467037520305,noise,-0.2204498281658919,Gaussian noise,0.0003942355697044,1.0906934520212673e-06,34.04245855069853,0.0120387772608272,296,74
noise_L2,2,74,0.7628045228832854,0.7670587439111319,0.1512373403928242,-0.0042542210278465,0.015851067900662,noise,-0.5577078924186492,Gaussian noise,0.0015666266357387,1.1404262431711671e-05,28.050460905145183,0.0318807039563151,296,74
noise_L3,3,74,0.7628045228832854,0.768522902683808,0.1480017914226847,-0.0057183798005225,0.0217394500505032,noise,-0.7496520575032739,Gaussian noise,0.0034927877792585,5.1240472140842885e-05,24.568754793436405,0.0648440990812623,296,74
noise_L4,4,74,0.7628045228832854,0.7681997920905835,0.1456640892652926,-0.0053952692072981,0.0316938501691667,noise,-0.7072938145286357,Gaussian noise,0.0061354919988032,0.0001428076707976,22.12271621675829,0.1035275818390808,296,74
noise_L5,5,74,0.7628045228832854,0.7662497850629735,0.1431897618401797,-0.0034452621796881,0.0433794021341075,noise,-0.4516572826109548,Gaussian noise,0.0094493222737533,0.00030636081219,20.248356810781928,0.144922996043295,296,74
noise_L6,6,74,0.7628045228832854,0.7473584842458548,0.1391799681557901,0.0154460386374304,0.0743334369069285,noise,2.0249012917551648,Gaussian noise,0.0202910251021888,0.0010725434289012,16.93327131341893,0.2371262772537607,296,74
noise_L7,7,74,0.7628045228832854,0.7219646331106577,0.1416993451219575,0.0408398897726276,0.099593266366381,noise,5.353912902647593,Gaussian noise,0.0339266012888401,0.0021863935447318,14.703936039771008,0.2881565003513487,296,74
noise_L8,8,74,0.7628045228832854,0.6461395910176252,0.1708948783088691,0.1166649318656601,0.1539523411793004,noise,15.29421081887197,Gaussian noise,0.0651975600678171,0.0039098553895759,11.865676734028774,0.2656966612123186,296,74
noise_L9,9,74,0.7628045228832854,0.5495079058151487,0.1962087467229938,0.2132966170681366,0.1890086222816105,noise,27.962159461497134,Gaussian noise,0.0959941449549955,0.0037334794407925,10.180874819013138,0.1708074564011882,296,74
noise_L10,10,74,0.7628045228832854,0.4430807510332911,0.2060344673282775,0.3197237718499942,0.2049441885500808,noise,41.91424700019958,Gaussian noise,0.1228413769874621,0.0022531068561114,9.107285164815384,0.0799761476108384,296,74
