condition,artifact,artifact_display,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels,break_threshold_crossed
noise_L1,noise,Gaussian noise,1,74,0.91246020016083,0.9162021965489728,-0.0037419963881427,0.8461928394606912,0.8515803438450478,-0.0053875043843565,0.8844378949401662,0.8854092610952445,-0.0009713661550783,0.8086667324639445,0.8096979183273385,-0.001031185863394,0.8185845341459236,0.8164943017001602,0.0020902324457633,0.7283002312497782,0.7262425440800454,0.0020576871697327,93225.24324324324,94446.47297297296,99706.22972972972,99706.22972972972,False
noise_L2,noise,Gaussian noise,2,74,0.91246020016083,0.9157511462599311,-0.0032909460991011,0.8461928394606912,0.8507897840884622,-0.0045969446277709,0.8844378949401662,0.8845463420004023,-0.000108447060236,0.8086667324639445,0.8081830343525642,0.0004836981113802,0.8185845341459236,0.8141444379262932,0.0044400962196303,0.7283002312497782,0.7231402571968327,0.0051599740529454,93225.24324324324,94408.8108108108,99706.22972972972,99706.22972972972,False
noise_L3,noise,Gaussian noise,3,74,0.91246020016083,0.9148504330852584,-0.0023902329244283,0.8461928394606912,0.8492158672599193,-0.003023027799228,0.8844378949401662,0.8828456511605701,0.0015922437795961,0.8086667324639445,0.8054236340116752,0.0032430984522693,0.8185845341459236,0.797899896829622,0.0206846373163015,0.7283002312497782,0.7056327280593098,0.0226675031904683,93225.24324324324,94238.97297297296,99706.22972972972,99706.22972972972,False
noise_L4,noise,Gaussian noise,4,74,0.91246020016083,0.9135228781102582,-0.0010626779494281,0.8461928394606912,0.8470320657304691,-0.0008392262697778,0.8844378949401662,0.8810147107844586,0.0034231841557076,0.8086667324639445,0.8024799508281621,0.0061867816357823,0.8185845341459236,0.8077444308915527,0.0108401032543709,0.7283002312497782,0.7142866353537962,0.0140135958959819,93225.24324324324,93928.97297297296,99706.22972972972,99706.22972972972,False
noise_L5,noise,Gaussian noise,5,74,0.91246020016083,0.91191930624874,0.00054089391209,0.8461928394606912,0.8444074568174025,0.0017853826432887,0.8844378949401662,0.8792008915895833,0.0052370033505829,0.8086667324639445,0.7998195136307417,0.0088472188332028,0.8185845341459236,0.8041269525091931,0.0144575816367304,0.7283002312497782,0.7093750809339344,0.0189251503158437,93225.24324324324,93548.17567567568,99706.22972972972,99706.22972972972,False
noise_L6,noise,Gaussian noise,6,74,0.91246020016083,0.9084560438025978,0.004004156358232147,0.8461928394606912,0.83871838844653,0.007474451014161221,0.8844378949401662,0.8778922952761608,0.006545599664005475,0.8086667324639445,0.7969254503207257,0.01174128214321879,0.8185845341459236,0.7834036048598658,0.03518092928605776,0.7283002312497782,0.6856653124069051,0.04263491884287307,93225.24324324324,93631.25675675676,99706.22972972972,99706.22972972972,False
noise_L7,noise,Gaussian noise,7,74,0.91246020016083,0.901036803780595,0.01142339638023493,0.8461928394606912,0.8272813783832181,0.018911461077473102,0.8844378949401662,0.8722226486177941,0.012215246322372142,0.8086667324639445,0.7893853613138834,0.019281371150061122,0.8185845341459236,0.8014366047338017,0.017147929412121843,0.7283002312497782,0.7004557962866397,0.027844434963138487,93225.24324324324,91892.22972972972,99706.22972972972,99706.22972972972,False
noise_L8,noise,Gaussian noise,8,74,0.91246020016083,0.884599924610097,0.027860275550733005,0.8461928394606912,0.8022923929548045,0.04390044650588676,0.8844378949401662,0.8591973541118606,0.025240540828305624,0.8086667324639445,0.7732023381938868,0.03546439427005765,0.8185845341459236,0.7962446127565176,0.022339921389405992,0.7283002312497782,0.6901920151967039,0.03810821605307424,93225.24324324324,88333.24324324324,99706.22972972972,99706.22972972972,False
noise_L9,noise,Gaussian noise,9,74,0.91246020016083,0.863851740665287,0.04860845949554293,0.8461928394606912,0.7716253527730049,0.07456748668768631,0.8844378949401662,0.8421210854047912,0.04231680953537498,0.8086667324639445,0.7520240041323742,0.05664272833157025,0.8185845341459236,0.762979352617971,0.055605181527952574,0.7283002312497782,0.6520898528763578,0.07621037837342037,93225.24324324324,84585.08108108108,99706.22972972972,99706.22972972972,False
noise_L10,noise,Gaussian noise,10,74,0.91246020016083,0.8362798843857316,0.07618031577509832,0.8461928394606912,0.7345714914322945,0.11162134802839674,0.8844378949401662,0.8195473196912012,0.06489057524896502,0.8086667324639445,0.7249795318247315,0.08368720063921298,0.8185845341459236,0.7187680348103048,0.09981649933561876,0.7283002312497782,0.6055698972240012,0.12273033402577693,93225.24324324324,80381.1081081081,99706.22972972972,99706.22972972972,False
contrast_L1,contrast,Contrast reduction,1,74,0.91246020016083,0.9161109356781754,-0.0036507355173452,0.8461928394606912,0.8515074080513496,-0.0053145685906583,0.8844378949401662,0.8856414874397713,-0.0012035924996051,0.8086667324639445,0.8101436409977117,-0.0014769085337672,0.8185845341459236,0.817486143289361,0.0010983908565626,0.7283002312497782,0.7275298282976169,0.0007704029521612,93225.24324324324,94379.35135135136,99706.22972972972,99706.22972972972,False
contrast_L2,contrast,Contrast reduction,2,74,0.91246020016083,0.9161164794183684,-0.0036562792575383,0.8461928394606912,0.8515182949583392,-0.0053254554976479,0.8844378949401662,0.8856843253864521,-0.0012464304462859,0.8086667324639445,0.8102108226543632,-0.0015440901904186,0.8185845341459236,0.8174144599460528,0.0011700741998708,0.7283002312497782,0.7274275397396746,0.0008726915101036,93225.24324324324,94373.35135135136,99706.22972972972,99706.22972972972,False
contrast_L3,contrast,Contrast reduction,3,74,0.91246020016083,0.9161555176066396,-0.0036953174458096,0.8461928394606912,0.8515850820192228,-0.0053922425585315,0.8844378949401662,0.8856502090205804,-0.0012123140804142,0.8086667324639445,0.8101413657010399,-0.0014746332370954,0.8185845341459236,0.8172291976483914,0.0013553364975321,0.7283002312497782,0.7271510222270264,0.0011492090227517,93225.24324324324,94357.22972972972,99706.22972972972,99706.22972972972,False
