level,num_patients,dice_WT,dice_TC,dice_ET,model,artifact,drop_dice_WT,drop_dice_TC,drop_dice_ET
10,74,0.0224415444713569,0.0450144754857839,0.1005192284095842,Swin-UNETR,noise,0.8737096174304879,0.8019432838160102,0.6411841904828472
1,74,0.895793138747133,0.8464851259085058,0.7402824645264277,Swin-UNETR,contrast,0.0003580231547118,0.0004726333932882,0.0014209543660038
2,74,0.8958009915228315,0.84649250444858,0.7402860397719203,Swin-UNETR,contrast,0.0003501703790132,0.000465254853214,0.0014173791205111
3,74,0.8957997353051607,0.8464901365725053,0.7402833425020846,Swin-UNETR,contrast,0.000351426596684,0.0004676227292888,0.0014200763903468
4,74,0.8957952761046146,0.846486632549512,0.7402846181128345,Swin-UNETR,contrast,0.0003558857972302,0.000471126752282,0.0014188007795969
5,74,0.8957971495555109,0.8464871241762173,0.7402779446594056,Swin-UNETR,contrast,0.000354012346334,0.0004706351255766,0.0014254742330258
6,74,0.8957969063550049,0.8464881628148643,0.7402829141571241,Swin-UNETR,contrast,0.0003542555468398,0.0004695964869297,0.0014205047353073
7,74,0.8957942924226395,0.8464848046905703,0.7402781732105621,Swin-UNETR,contrast,0.0003568694792054,0.0004729546112237,0.0014252456818692
8,74,0.8957963437495627,0.846485416348193,0.7402757619479455,Swin-UNETR,contrast,0.0003548181522821,0.000472342953601,0.0014276569444858
9,74,0.895794426868066,0.8464878982966189,0.7402791074425719,Swin-UNETR,contrast,0.0003567350337789,0.0004698610051752,0.0014243114498594
10,74,0.8957954510260382,0.8464883906973147,0.7402759966499368,Swin-UNETR,contrast,0.0003557108758067,0.0004693686044792,0.0014274222424946
1,74,0.895619620367657,0.8474691912308974,0.7402236997604189,Swin-UNETR,frequency_truncation,0.0005315415341879,-0.0005114319291032,0.0014797191320124
2,74,0.8950919347755893,0.8471540259811423,0.7389982353975288,Swin-UNETR,frequency_truncation,0.0010592271262555,-0.0001962666793481,0.0027051834949026
3,74,0.8938583408615499,0.8458268884594986,0.7363729768491851,Swin-UNETR,frequency_truncation,0.0022928210402949,0.0011308708422955,0.0053304420432462
4,74,0.8918640153204446,0.8427746995843527,0.7309055580721795,Swin-UNETR,frequency_truncation,0.0042871465814003,0.0041830597174413,0.0107978608202519
5,74,0.8868607792973088,0.8357990540514479,0.7196742505930153,Swin-UNETR,frequency_truncation,0.0092903826045361,0.0111587052503461,0.0220291682994161
6,74,0.8708644058709275,0.8217403799254963,0.6971865131643082,Swin-UNETR,frequency_truncation,0.0252867560309174,0.0252173793762978,0.0445169057281232
7,74,0.8349622187997657,0.7855041056296252,0.6535563351972643,Swin-UNETR,frequency_truncation,0.061188943102079,0.0614536536721689,0.0881470836951671
8,74,0.7483097548778875,0.6930417245693338,0.561429720677585,Swin-UNETR,frequency_truncation,0.1478414070239573,0.1539160347324604,0.1802736982148464
9,74,0.652253251772434,0.5987860620186524,0.4898482436220444,Swin-UNETR,frequency_truncation,0.2438979101294109,0.2481716972831418,0.2518551752703868
10,74,0.451236200981152,0.3664185257089665,0.3144336540672819,Swin-UNETR,frequency_truncation,0.4449149609206928,0.4805392335928277,0.4272697648251494
