artifact,report_artifact,level,condition,parameters,degradation_pipeline,num_patients,dice_WT_mean,dice_WT_sd,dice_WT_drop_mean,dice_WT_drop_sd,iou_WT_mean,iou_WT_sd,iou_WT_drop_mean,iou_WT_drop_sd,dice_TC_mean,dice_TC_sd,dice_TC_drop_mean,dice_TC_drop_sd,iou_TC_mean,iou_TC_sd,iou_TC_drop_mean,iou_TC_drop_sd,dice_ET_mean,dice_ET_sd,dice_ET_drop_mean,dice_ET_drop_sd,iou_ET_mean,iou_ET_sd,iou_ET_drop_mean,iou_ET_drop_sd,pred_WT_voxels_mean,true_WT_voxels_mean,pred_WT_voxels_change_mean,inference_seconds_mean,degradation_seconds_mean,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients,dice_threshold_crossed,iou_threshold_crossed,break_threshold_crossed
noise,Gaussian noise,1,noise_L1,"{""std"": 0.02}",script26a_restored_original_range,74,0.8958709164081622,0.0680014074295586,0.0002802454936828,0.0121553134134403,0.8175375043702849,0.1019071367755155,0.0010189301600729,0.0171762502209038,0.846042478585003,0.145224727570611,0.0009152807167911,0.0408523480990398,0.7557059571418984,0.1832979083040103,0.0005608180946559,0.0471307968722305,0.7398458230539262,0.2637844963411874,0.0018575958385052,0.0211158485301943,0.6409707340639031,0.265195851577129,0.0028223815932877,0.0246311893162973,98760.48648648648,99706.22972972972,1079.054054054054,2.7622233715814515,1.4460347860145408,0.0003942355697044,1.0906934520212673e-06,0.0003943784686271,34.04245855069853,0.0120387772608272,34.04086803706626,296,74,False,False,False
noise,Gaussian noise,2,noise_L2,"{""std"": 0.04}",script26a_restored_original_range,74,0.8954668107627176,0.0679825598005959,0.0006843511391272,0.0090889657604396,0.8168204299040198,0.1011441761398609,0.0017360046263379,0.0132200191982308,0.845857589947095,0.1454420320076688,0.001100169354699,0.0413744557296481,0.755496828127487,0.1835478444028974,0.0007699471090673,0.047620048276776,0.7395992224480669,0.2625730549480656,0.0021041964443645,0.0198920890879293,0.6401043288078315,0.2637350802879382,0.0036887868493594,0.0235728954678962,96725.06756756756,99706.22972972972,-956.3648648648648,2.773920481068057,1.42337231390883,0.0015666266357387,1.1404262431711671e-05,0.0015687876148149,28.050460905145183,0.0318807039563151,28.04435848039433,296,74,False,False,False
noise,Gaussian noise,3,noise_L3,"{""std"": 0.06}",script26a_restored_original_range,74,0.8925024276145761,0.0701289090033084,0.0036487342872687,0.0133435169647199,0.8122735269755271,0.1031525253535003,0.0062829075548307,0.0202494339924978,0.8444229690325457,0.1470231146735421,0.0025347902692484,0.0390251115854023,0.7537021766269595,0.1846258262071379,0.0025645986095948,0.0453482008711994,0.7383994691598538,0.2611556845438435,0.0033039497325776,0.019579032674959,0.6378591356339857,0.2617629247390357,0.0059339800232051,0.0222681148166367,94102.36486486488,99706.22972972972,-3579.0675675675675,2.792684914493883,1.4359107719532944,0.0034927877792585,5.1240472140842885e-05,0.003507875255309,24.568754793436405,0.0648440990812623,24.549558591794742,296,74,False,False,False
noise,Gaussian noise,4,noise_L4,"{""std"": 0.08}",script26a_restored_original_range,74,0.8861459453228601,0.076249973403594,0.0100052165789847,0.0245227797392605,0.802923733363764,0.1096674023002408,0.0156327011665939,0.0361613055585538,0.8443969040315944,0.145143926181386,0.0025608552701997,0.0339013137874555,0.7530271258128836,0.1819519639317682,0.0032396494236707,0.0393268468699262,0.7373030128258836,0.2589742121476255,0.0044004060665477,0.0308125633466161,0.6352719777970484,0.258135705837949,0.0085211378601424,0.03041227170484,91047.37837837836,99706.22972972972,-6634.054054054054,2.7988730284158847,1.4260101554713942,0.0061354919988032,0.0001428076707976,0.0061755084898322,22.12271621675829,0.1035275818390808,22.093272768986573,296,74,False,False,False
noise,Gaussian noise,5,noise_L5,"{""std"": 0.1}",script26a_restored_original_range,74,0.8753283075858026,0.0852291492982403,0.0208228543160423,0.035592356256633,0.7871584662892698,0.1193442664730545,0.0313979682410879,0.050283390556704,0.8412916898174273,0.1488598277363319,0.0056660694843668,0.0343081819285397,0.7490535874689489,0.1834652039870241,0.0072131877676053,0.0364485977115882,0.7338480112522873,0.2591232682084406,0.0078554076401441,0.0454033169304414,0.6304722008165178,0.2561741190455936,0.0133209148406731,0.044240925632928,87843.48648648648,99706.22972972972,-9837.945945945949,2.7976553612766235,1.4214632572555863,0.0094493222737533,0.00030636081219,0.0095363743603229,20.248356810781928,0.144922996043295,20.20616709001962,296,74,False,False,False
noise,Gaussian noise,6,noise_L6,"{""std"": 0.15}",script29a_saved_normalized_01,74,0.8185873481954414,0.118905240646978,0.0775638137064034,0.0705323001058473,0.7077146104315515,0.1505652933363296,0.1108418240988063,0.0872546386558588,0.8305754057422323,0.1490098442760646,0.0163823535595617,0.0405306592454242,0.732523480360827,0.1796937421893014,0.0237432948757272,0.0420151697813534,0.7174849609288031,0.2573559189841031,0.0242184579636282,0.068715246383611,0.6081790757592527,0.2500125623395883,0.0356140398979381,0.0741371103853091,77209.7027027027,99706.22972972972,-20471.72972972973,2.7763131309703395,1.265417764718468,0.0202910251021888,0.0010725434289012,0.0205438286066055,16.93327131341893,0.2371262772537607,16.873186204754,296,74,False,False,False
noise,Gaussian noise,7,noise_L7,"{""std"": 0.2}",script29a_saved_normalized_01,74,0.7270331053565005,0.1813256737358957,0.1691180565453445,0.1370042905662459,0.5980090490967097,0.1937475771801305,0.220547385433648,0.1382543712547201,0.7882468499466145,0.1809880499207687,0.0587109093551795,0.0854786442911252,0.6801856245550884,0.204286382141964,0.0760811506814658,0.0835692504718577,0.6786418772898507,0.2633100590918386,0.0630615416025806,0.1062198802383671,0.5617112858581668,0.2479162852783632,0.0820818297990241,0.1093563106772988,65543.45945945945,99706.22972972972,-32137.972972972973,2.81329402596866,1.261575325115307,0.0339266012888401,0.0021863935447318,0.0342914294451475,14.703936039771008,0.2881565003513487,14.64814411122908,296,74,True,True,True
noise,Gaussian noise,8,noise_L8,"{""std"": 0.3}",script29a_saved_normalized_01,74,0.4679343528578679,0.252574526939586,0.4282168090439769,0.224769179714359,0.339377615197781,0.2107513256564818,0.479178819332577,0.1831082965275206,0.5978385432261166,0.2938491079680391,0.2491192160756774,0.2301047730303431,0.4821836087915475,0.2734440353289722,0.2740831664450067,0.1964748635085418,0.5175184686928369,0.2797256065101972,0.2241849501995944,0.250482420376817,0.3937794230116792,0.2436260020816272,0.2500136926455116,0.2398407484057199,38245.75675675676,99706.22972972972,-59435.67567567567,2.7939510254843816,1.2645343366657962,0.0651975600678171,0.0039098553895759,0.0657478459179401,11.865676734028774,0.2656966612123186,11.821184713024046,296,74,True,True,True
noise,Gaussian noise,9,noise_L9,"{""std"": 0.4}",script29a_saved_normalized_01,74,0.1747601447975622,0.1773881350392063,0.7213910171042828,0.1695284601699964,0.1069217100941539,0.1173169674254003,0.711634724436204,0.1320568192995139,0.2765259858536893,0.2830445273610786,0.5704317734481048,0.2543090805747079,0.1960498913892649,0.2216769679017239,0.5602168838472894,0.2074416736449079,0.2405088323028576,0.2614230489740224,0.5011945865895736,0.3615490655567711,0.1675939896476921,0.2158960977038487,0.4761991260094987,0.3402492591186488,12537.864864864863,99706.22972972972,-85143.56756756757,2.8309284758728905,1.2711330512790262,0.0959941449549955,0.0037334794407925,0.0965036340057849,10.180874819013138,0.1708074564011882,10.15456333109079,296,74,True,True,True
noise,Gaussian noise,10,noise_L10,"{""std"": 0.5}",script29a_saved_normalized_01,74,0.0224415444713569,0.0628516501934524,0.8737096174304879,0.0897767833907477,0.0125509317998643,0.0385218545186533,0.8060055027304937,0.1084362448556898,0.0450144754857839,0.1150518455606921,0.8019432838160102,0.1606375631768706,0.0272751604887952,0.0734344800548634,0.728991614747759,0.1771424009139771,0.1005192284095842,0.2586910857401708,0.6411841904828472,0.4787367552430234,0.0866301163995694,0.2531295723442348,0.5571629992576215,0.4659314672060758,2063.95945945946,99706.22972972972,-95617.47297297296,2.8142247001917378,1.2981590788207344,0.1228413769874621,0.0022531068561114,0.1231392510235309,9.107285164815384,0.0799761476108384,9.096034926910086,296,74,True,True,True
