experiment_quality,condition,artifact,artifact_display,level,n_patients,n_measurements,mse_mean,mse_std,psnr_mean,psnr_std,n_cases,dice_WT_mean,iou_WT_mean,dice_WT_drop,iou_WT_drop
original_L1_L5,contrast_L2,contrast,Contrast,2,74,296,0.0035381966822692,0.0014236405583542,24.857468484030832,1.7472922189573026,74,0.9161164794183684,0.8515182949583392,-0.0036562792575383,-0.0053254554976479
original_L1_L5,contrast_L3,contrast,Contrast,3,74,296,0.0090577541834775,0.0036444830628018,20.775077460918634,1.7472779697435457,74,0.9161555176066396,0.8515850820192228,-0.0036953174458096,-0.0053922425585315
original_L1_L5,contrast_L4,contrast,Contrast,4,74,296,0.0171247884108861,0.006890318356165,18.009028807335017,1.7472741442473476,74,0.916242963136376,0.8517278457001335,-0.0037827629755458,-0.0055350062394422
original_L1_L5,contrast_L5,contrast,Contrast,5,74,296,0.0277393036836607,0.0111611466011393,15.914324040444995,1.74727077842524,74,0.9164029102761604,0.851971967868906,-0.0039427101153303,-0.0057791284082148
extended_L6_L10,contrast_L6,contrast,Contrast,6,74,296,0.023158254177385,0.0068029933867879,16.542186536699425,1.2969410692824834,74,0.9186920684371096,0.8554084813629268,-0.0062318682762796,-0.0092156419022355
extended_L6_L10,contrast_L7,contrast,Contrast,7,74,296,0.026143571009507,0.0076800490696149,16.015599128117614,1.296951923212936,74,0.9189277630243962,0.8557820480095085,-0.006467562863566,-0.0095892085488172
extended_L6_L10,contrast_L8,contrast,Contrast,8,74,296,0.0293098142735559,0.0086102703034942,15.519120820420303,1.2969618680829686,74,0.9190078190242827,0.8558833560900585,-0.0065476188634526,-0.0096905166293672
extended_L6_L10,contrast_L9,contrast,Contrast,9,74,296,0.0326569927604617,0.0095936579839719,15.049492726307228,1.296971585396929,74,0.91740252507329,0.853119807799878,-0.00494232491246,-0.0069269683391867
extended_L6_L10,contrast_L10,contrast,Contrast,10,74,296,0.0347521447897511,0.0102092046951315,14.77944004158791,1.2969762212019522,74,0.9124998122252348,0.8455659932801364,-3.961206440461496e-05,0.0006268461805548
original_L1_L5,ringing_L1,ringing,Frequency-domain truncation,1,74,296,0.0003418561236439,0.0001784202727152,35.28831250580274,2.4760358688215325,74,0.9162951140111424,0.8517668109165344,-0.0038349138503124,-0.0055739714558431
original_L1_L5,ringing_L2,ringing,Frequency-domain truncation,2,74,296,0.0006416257373702,0.0003329922125449,32.531174560682445,2.408699703134331,74,0.9162294106233406,0.851647776490729,-0.0037692104625105,-0.0054549370300377
original_L1_L5,ringing_L3,ringing,Frequency-domain truncation,3,74,296,0.0010576432850447,0.0005324429159944,30.32103175277614,2.3128329993220045,74,0.9158906553461346,0.8511123297156986,-0.0034304551853044,-0.0049194902550073
original_L1_L5,ringing_L4,ringing,Frequency-domain truncation,4,74,296,0.0016438471950489,0.0007920279158011,28.364507618286865,2.2270637569899123,74,0.9153089624161336,0.8502140291294136,-0.0028487622553036,-0.0040211896687223
original_L1_L5,ringing_L5,ringing,Frequency-domain truncation,5,74,296,0.0025125493795368,0.001152000098839,26.48085800313618,2.143540977043318,74,0.91405164500934,0.8481775978891047,-0.00159144484851,-0.0019847584284135
extended_L6_L10,ringing_L6,ringing,Frequency-domain truncation,6,74,296,0.0038155231117884,0.0016443759833951,24.618626109836907,2.041100337098974,74,0.9131177024930712,0.8465056495242231,-0.0006575023322412,-0.0003128100635318
extended_L6_L10,ringing_L7,ringing,Frequency-domain truncation,7,74,296,0.006202564838679,0.0024189272203088,22.444597285559983,1.9011963828432012,74,0.907876480237668,0.8373367461805713,0.004583719923162,0.0088560932801199
extended_L6_L10,ringing_L8,ringing,Frequency-domain truncation,8,74,296,0.0114457473899017,0.0040174772252394,19.725248926564987,1.7559783449756063,74,0.8800325293489256,0.7923435826245826,0.0324276708119044,0.0538492568361086
extended_L6_L10,ringing_L9,ringing,Frequency-domain truncation,9,74,296,0.0164421112677774,0.0055026714218066,18.11629136447112,1.6377634072899698,74,0.8259554059058063,0.7160420954510147,0.0865047942550237,0.1301507440096765
extended_L6_L10,ringing_L10,ringing,Frequency-domain truncation,10,74,296,0.0276325588929466,0.0086294112385305,15.815587268291704,1.4683004912547737,74,0.624263276257373,0.4873644380296452,0.2881969239034571,0.358828401431046
