experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
original_L1_L5,contrast,Contrast reduction,4,contrast_L4,0.0171247884108861,0.006890318356165,0.0159585606306791,18.009028807335017,1.7472741442473476,17.97006527561559,296,74
original_L1_L5,contrast,Contrast reduction,5,contrast_L5,0.0277393036836607,0.0111611466011393,0.0258502895012497,15.914324040444995,1.74727077842524,15.875348343802,296,74
extended_L6_L10,contrast,Contrast reduction,6,contrast_L6,0.023158254177385,0.0068029933867879,0.0223300093784928,16.542186536699425,1.2969410692824834,16.51111108412195,296,74
extended_L6_L10,contrast,Contrast reduction,7,contrast_L7,0.026143571009507,0.0076800490696149,0.0252084741368889,16.015599128117614,1.296951923212936,15.98453455167681,296,74
extended_L6_L10,contrast,Contrast reduction,8,contrast_L8,0.0293098142735559,0.0086102703034942,0.0282614277675747,15.519120820420303,1.2969618680829686,15.488059153063874,296,74
extended_L6_L10,contrast,Contrast reduction,9,contrast_L9,0.0326569927604617,0.0095936579839719,0.0314887911081314,15.049492726307228,1.296971585396929,15.01844026065789,296,74
extended_L6_L10,contrast,Contrast reduction,10,contrast_L10,0.0347521447897511,0.0102092046951315,0.0335089452564716,14.77944004158791,1.2969762212019522,14.748392558390956,296,74
original_L1_L5,ringing,Frequency-domain truncation,1,ringing_L1,0.0003418561236439,0.0001784202727152,0.0003016821283381,35.28831250580274,2.4760358688215325,35.20451979124273,296,74
original_L1_L5,ringing,Frequency-domain truncation,2,ringing_L2,0.0006416257373702,0.0003329922125449,0.0005880426615476,32.531174560682445,2.408699703134331,32.30591208653881,296,74
original_L1_L5,ringing,Frequency-domain truncation,3,ringing_L3,0.0010576432850447,0.0005324429159944,0.0009799502440728,30.32103175277614,2.3128329993220045,30.087972978245595,296,74
original_L1_L5,ringing,Frequency-domain truncation,4,ringing_L4,0.0016438471950489,0.0007920279158011,0.0015269419527612,28.364507618286865,2.2270637569899123,28.161790631417936,296,74
original_L1_L5,ringing,Frequency-domain truncation,5,ringing_L5,0.0025125493795368,0.001152000098839,0.0023458391660824,26.48085800313618,2.143540977043318,26.29702096012185,296,74
extended_L6_L10,ringing,Frequency-domain truncation,6,ringing_L6,0.0038155231117884,0.0016443759833951,0.0035844953963533,24.618626109836907,2.041100337098974,24.45572423990214,296,74
extended_L6_L10,ringing,Frequency-domain truncation,7,ringing_L7,0.006202564838679,0.0024189272203088,0.0059572791215032,22.444597285559983,1.9011963828432012,22.249520510538822,296,74
extended_L6_L10,ringing,Frequency-domain truncation,8,ringing_L8,0.0114457473899017,0.0040174772252394,0.0111910286359488,19.725248926564987,1.7559783449756063,19.5112999355344,296,74
extended_L6_L10,ringing,Frequency-domain truncation,9,ringing_L9,0.0164421112677774,0.0055026714218066,0.0158884357661008,18.11629136447112,1.6377634072899698,17.98919064239189,296,74
extended_L6_L10,ringing,Frequency-domain truncation,10,ringing_L10,0.0276325588929466,0.0086294112385305,0.0266029657796025,15.815587268291704,1.4683004912547737,15.750702707868498,296,74
